Project ID #,Name of Project,Latitude,Longitude,Data Source,Watershed /Stream,Start date,End date,Name of Organizations,Total Cost:,Funding source,Logging Data,Type of Watershed Degradation,Ecosystem Type,Land owners,Target species,Restoration goals,Upslope Restoration Methods,Riparian Restoration Methods,Fluvial Restoration Methods,Monitoring data available?,Map Reference #,Output Estimates,Past Work,Future Proposed work
013,San Juan Watershed Restoration - Lower Hemmingsen River,48.624222,-124.24175,Project Report: https://drive.google.com/file/d/1Si9_N4_lNWNOGuUzY5PzoxXYB9y7eSdp/view?usp=sharing,Hemingsen Creek/ San Juan,1997,1997,"Black Label Consulting, Madrone Consulting",,,Logged between 1960 and 1975,,,,,"- Slope Stability
- Water management","- Mechanical Retrival of Sidecast fills
- Removing all metal and wood drainage structures
- Prepare soils for successful crop tree reforestation","- Revegetation using willows and alder where required
- Revegetation of disturbed soils with grass and legume seed mixes",• Sediment and debries removal,,,,,
014,"
Nanaimo River",49.094889,-124.188833,Project Report: https://drive.google.com/file/d/1OTLb_AEbD5HaJay3nj6oUloUJhHlcxdD/view?usp=sharing,Nanaimo / Nanaimo River,2003,,"BC Conservation Foundation, Habitat Conservation Trust Fund, Ministry of Water, Land and Air Protection ",,"Habitat Conservation Trust Fund, Timber West",,,,,Steelhead Trout (Oncorhynchus mykiss),Increasing availability and quality of spawning habitat.,,,"- Install 150 m3 of suitable gravel in one location on the south side (right bank) of the Second Lake outlet channel to create anestimated 240 m2 of spawning habitat. 
- Install 250 m3 of suitable gravel in three locations immediately
downstream of South Fork Dam in locations that will provide immediate spawning benefit and allow for gravel recruitment to suitable areas downstream.
",,015_Nanaimo River,,,"Additional gravel sites throughout the South Nanaimo River should be investigated. 
As with this project, future gravel additions should be considered a maintenance measure to offset the cessation of natural gravel recruitment caused by the South Fork Dam.
Monitoring fish use of installed gravel and downstream displacement of material over time
should be continued."
015,Ash River,49.395417,-125.077889,Project Report: https://drive.google.com/file/d/1OTLb_AEbD5HaJay3nj6oUloUJhHlcxdD/view?usp=sharing,Stamp-Somass/ Ash River,2003,,"BC Conservation Foundation, Habitat Conservation Trust Fund, Ministry of Water, Land and Air Protection ",,"Habitat Conservation Trust Fund, Timber West",,,,,Steelhead Trout (Oncorhynchus mykiss),Increasing availability and quality of spawning habitat.,,,"- Install 400 m3 of suitable gravel in two locations, one on
either side of the lake outlet, to create approximately 665 m2 of spawning habitat. ",,016_Ash River,,,
016,Elk Falls Rearing Channel,50.040611,-125.300306,Project Report: https://drive.google.com/file/d/1JU-WVAMBfFcJprmBoGdmnyTNMdsNszeA/view?usp=sharing,Campbell River/ Elk Falls,1999,2000,"International Forest Products, Fisheries and Oceans Canada","$314,598","BC Hydro BCRP & Campbell River Salmon Foundation.  In kind conrributions by DFO, CSRF and BC Parks","Logging, Sawmill, log booming, shipyard",Industrial uses have lowered the rivers productivity,,,"Coho Salmon (Oncorhynchus kisutch), ",Create additional coho rearing habitat by connecting wetland to the mainstreal,,"- The banks of channell were seeded with grass, ocean spray, red alder, willow, red osies dogwood
- Weirs exposed soil seeded with grasses, salmond berries, alder, sitjka spruce and red oiser dogwood","- 260m of intake channel was constructed
-LWD was placed into chanel and anchored in place
- five Newbury Style weirs were comstructed",,,"- 0.8km of stream work
- 17000m2 of overwintering side channel habitat",,
017,Colonial Creek Instream Works,50.324361,-127.45525,Project Report: https://drive.google.com/file/d/16ME4rjo0zS1HA2UQctd4cZI8FFuhnTji/view?usp=sharing,Colonial Creek/ Colonial Creek,2000,,"Wester Forest Products Limited, Northwest Hydraulic Consultants","$74,519",,Approximately 39% of the watershed has been logged prior the 1940s,"- Lack of salmon habitat 
- Moderate to high rates of bank erosion treatening riparian vegentation ",,TFL 6 managed by Western Forest Products,"Chum Salmon (Oncorhynchus keta), Coho Salmon (Oncorhynchus kisutch), Chinook Salmon (Oncorhynchus tshawytscha), Pink Salmon (Oncorhynchus gorbuscha), Sockeye Salmon (Oncorhynchus nerka), Steelhead Trout (Oncorhynchus mykiss), Cutthroat Trout (Oncorhynchus clarkii clarkii), and Dolly Varden Char.",Provide cover and rearing habitat for anandromous and resident fishm protect angainst bank erosion and better define pool-riffle sequesnces in the channel,,,- 9 LWD structures were constructed spaced roughly 150m apart to encourage better definition pool-riffle sequencing,,,"Restoration along 0.55km of  channel, along right and left channel banks",,
018,Cypre River Groundwater Channel,49.283417,-125.921417,Project Report: https://drive.google.com/file/d/19ebH1zfoTYCAUQvXoTuLebS0dHQKwcIH/view?usp=sharing,Cypre River/ Cypre River,1997,2000,"Weyerhaeuser, J.A. Taylor & Associates Ltd, FIsheries and Oceans Canada","$155,781",,40% of the Cypre river watershedd has been logged.  26% of that between 1974 and 1985.  Loggin stopped in 1997,"- Increased bedload and associated aggradation on low gradient sections of the river.
-loss of forest cover and road constuction
-loss of overwintering salmon habitat
-Extensive lost of riparing vegetation
- Eliminated supply of high quality LWD",Coastal Western Hemlock biogeoclimatic (BEC) zone,,"Salmonoids such as Coho Salmon (Oncorhynchus kisutch),  Rainbow Trout (Oncorhynchus mykiss) and Cutthroat Trout (Oncorhynchus clarkii clarkii).",,,,"Channel excavation required three phases:
1- All organics were stripped and silt out of the swale dow to ground water level
2 - A second pass widen the channel to approximately 6m.
3- The finalpass completed the excavationbdown to the design grade.
- Channel complexing was primarily performed with LWD and brush revetments
- Five artificial undercut banks were constructed using logs,
- Boulders and pacememnts were used to provide interstitial habitat along 500 mts of the channel",,,,,
019,Easy Creek Watershed Restoration,50.131167,-127.324833,Watershed Restoration Project Report: https://drive.google.com/file/d/1CkK9gfNCxGq1xC4Z77sSHyMjz4TnZVwa/view?usp=sharing,Kayouq Creek/ Easy Creek,2000,2000,"Rupert Wong, Violet Komori and Warren Warting.  Interfor, Kingcome Enhanced Forestry Division (KEFD), Kyuquot Management board (KMB), The KMB consists of Kyuquot/ Checheset First Nations, Interfor, Kyuquot Sound Multi use association, MOF, MELP and IWA Canada.  Other project partners include Komori Wond Environmental, ARTA Consulting, and Streamline Environmental Consulting Ltd.","$89,148",,Forestry development in Easy Creek began in the middle 1960's with approximately 40-50% of the watershed logged by 1992.  Approximately 81% of the harvesting and roadbuilding occured before 1988.  70% of the total area logged ocurred bellow 300m impacting sensitive riparian habitat,"-Impasable LWD jam imparing acces for fish habitat
- Degradation of natural riparian vegetation throughout the entire mainstem and lower tributaries .
-Reduction in Long-Term supply of LWD (that would oherwise provide cover, shade and food for rearing salmonids). 
-slope failures (increased peak flows, sediment delivery and channel widening), and mainline road encroachment into mainstem river channel (limiting natural stream meander and fish access to off-channel habitat",Coastal Western Hemlock biogeoclimatic (BEC) zone,"The majority of the watershed is crown land with a small area dedignated ""Indian Reserve"" on the north side of the estuary",Juvenile Salmonids,Increase productivity and survival of overwintering juvenily salmonids by developing stable off-channel rearing habitat and stable LWD cover structures in the mainstream channel,,,"In the first year a total of 10 manistem LWD structures were completed. 
-Excabation of a small alcove (100m2) complexed with LWD",,021_EasyCreek,In 2000 a total of 88 pieces of LWD were used to construct 10 features om Easy Creek,"Reconizance work in 1994 highlighted the impacts to fish habitat including a log jam.
A 1999 fish habitat and hydrology assesment document excisting impacts of forestry development on fish habitat","- Continued Monitoring
-continued riparian restoration
-Increase amoung of stabel overwintering haibtat fror juveile coho by increasing off-channel habitat
-additional LWD features will be added to improve coho and steelhead survival
- Conduct low level nutrient replacement if suitable product is availabel"
020,Keogh River Riparian Restoration,50.669417,-127.352167,Watershed Restoration Project Report: https://drive.google.com/file/d/1CkK9gfNCxGq1xC4Z77sSHyMjz4TnZVwa/view?usp=sharing,Keogh River/ Keogh River,2000,2000,"Phase 1: Pat Slaney and Lloyd Borroughs, Ministry of Environment, Lands and Parks, B.C Conservation FOundation, and Western Forest Products Ltd, Port McNeill Division
Phase 2: V.A Poulin and E. Gagné, Western Forest Products Ltd, Kwakiutl First Nation and Quatsino FIrst Nation","Phase 1: $137,800
Phase 2: $47,075",,Logging occurred in the 1970's,"Mainstream lacking fish habitat complexity, particulary LWD
- Lacking off-channel habitats as overwintering regufes for stream-rearing salmonoids",Coastal Western Hemlock biogeoclimatic (BEC) zone,Western Forest Products,"Coho Salmon (Oncorhynchus kisutch), and Dolly Varden char","Replace fish habitat affected by past streambank forrest harvesting
Augment limiting off-channel (wetland) refuges for coho salmon and Dolly Varden char
-speeding recovery of forest attributes needed for fish habitat, water quality and channel stability",,"-Improve diameter growth and species composition of conifer and dicidouos trees by thinning and brushing
- Advance conifer regeneration by removing alder overstory or managing for mixed wood
- Utilize standing conifers to create river structure 
- Reduce wondthrow hazard of riparian trees by early spacing and thining
- Modified a component of trees to use by birds bats and small mammals by topping prunning","57 fish habitat structures were instaled in the lower river. structures included:
- 28 Boulder Clusters within riffles
-20 lateral triangular LWD structures
- six boulder riffles
- two debris spurs
-one 2 -log deflector
two ponds were excabated to create overwintering habitat",,,,Habitat complexity was restored in 1998,
021,Keogh River Instream and Off-channel Restoration,50.660288,-127.35649,Watershed Restoration Project Report:https://drive.google.com/file/d/1ea-QJUUNxjV6VaW-9yWB7-pkVb0Xm7BC/view?usp=sharingg,Keogh River/ Keogh River,1998,1998,"Ministry of Environment, Lands and Parks, Western Forest Products Ltd., North Island Division.","$156,937",,Logging occurred in the 1970's,,,"The Keogh River lies largely
in Tree Farm License 25, of Western Forest Products Ltd. (WFP),",Salmonids,"1) Restore fish habitat degraded as a result of past
forest harvesting practices, and 
2) instruct restoration professionals on the proper
techniques for assessing and restoring fish
habitat. Restoration activities involved the
placement of LWD structures, boulder clusters,
riffle reconstructions and off-channel habitat
development.",,,"• Instream restoration work involved the creation of new fish habitat and either reconstruct, or increase the productive capacity of past restoration efforts. 
• A total of 68 instream restoration structures were built during the 1998/1999
restoration season.",,,"A total of 68 fish habitat structures were either
installed or improved, creating an estimated 4534
m2 of fish habitat. By applying coho fry and
steelhead juvenile production information
derived by McCubbing and Ward (1997), the
1998/1999 instream restoration component of the
KRWRP has produced enough summer habitat
to accommodate at least 3127 coho fry and 267
steelhead juveniles, annually.","Over the past five years,
Western has supplied restoration materials and
undertaken cross ditching, water bar and
revegetation work at most unstable road and
gully sites.",
022,Lower Klaklakama Creek,50.178379,-126.436553,Watershed Restoration Project Report: https://drive.google.com/file/d/1CkK9gfNCxGq1xC4Z77sSHyMjz4TnZVwa/view?usp=sharing,Nimpkish River/ Lower Klaklakama Creek,2000,2000,"Kenn Rood, Mike Berry, Charley Jancsik, Partnership of Canadian Forest Products Ltd. 'Namgis First Nation and International Woodworkers of america","$10,838",,Timber harvesting began in the 1950's and 44% of the total watershed has been harvested to date,Two large woody debris were preventing fish passage,Coastal Western Hemlock biogeoclimatic (BEC) zone,,"Coho Salmon (Oncorhynchus kisutch),  and resident fish species",Clear the woody debri to allow fish passage,,,"- LWD was moved (using hand tools and chainsaw winches) towards the bancks to create two opposing LWD spurs
-Larger Woody pieceswere were cabled together and. attached to the banks or burried on the streambed",,,"FIsh access was provided to approximately 11km of highly productive stream, including two lakes","-Enhancement projects have cleared small woody debris to allow fish passage over the years (Namgis First Naiton, 1978-1982)",
023,Bonanza Creek Debris Jam Removal,50.470111,-126.817111,Watershed Restoration Project Report: https://drive.google.com/file/d/1CkK9gfNCxGq1xC4Z77sSHyMjz4TnZVwa/view?usp=sharing,Kokish River/ Bonanza Creek,2000,2000,"Brad Johnson, TFL FOrest Ltd., EBA Engineering COnsultants Ltd., Nimpkish FIrst Nation","$42,000",,,Debri jam located at the outlet of Bonanza lake,Coastal Western Hemlock biogeoclimatic (BEC) zone,,,Open a channel through the debri jam to allow fish passage into Bonanza Lake and upstream habitat,,,- Wood was cleared from the debris jam by hand using chaninsaws and a winch.  the wood was freed and floated downstream,,,A total of 280m2 of debris was removed from debris jam,,
