Project_ID_#,Name_of_Project,Latitude,Longitude,Data_Source,Watershed/Stream,Start_Date,End_Date,Lead_Organizations,Partner_Organizations,Total_Cost,Funding_Source,Logging_Data,Type_of_Watershed_Degradation,Ecosystem_Type,Land_Owners,Target_Species,Restoration_Goals,On_Land_Restoration_Methods,In_Stream_Restoration_Methods,Monitoring_Data,Map_Reference_#,Output_Estimates,Past_Work,Future_Proposed_work
13,San Juan Watershed Restoration - Lower Hemmingsen River,48.624222,-124.24175,Project Report:�<a href='https://osf.io/b5m37/?direct%26mode=render%26action=download%26mode=render' rel='nofollow ugc' target='_blank'>https://osf.io/b5m37/?direct%26mode=render%26action=download%26mode=render</a>,Hemingsen Creek/ San Juan,1997,1997,Black Label Consulting,Madrone Consulting,"$543,412.00 ",,Logged between 1960 and 1975,,Coastal Western Hemlock biogeoclimatic (BEC) zone,,,#NAME?,"• Revegetation using willows and alder where required
• Revegetation of disturbed soils with grass and legume seed mixes
• Prepare soils for successful crop tree reforestation","• Sediment and debris removal
• Mechanical Retrieval of Sidecast fills
• Removing all metal and wood drainage structures",,,,,
14,"
Nanaimo River",49.094889,-124.188833,Project Report:�<a href='https://osf.io/9d2kb/?direct%26mode=render%26action=download%26mode=render' rel='nofollow ugc' target='_blank'>https://osf.io/9d2kb/?direct%26mode=render%26action=download%26mode=render</a>,Nanaimo / Nanaimo River,2003,2003,"Habitat Conservation Trust Fund, Ministry of Water, Land and Air Protection ",BC Conservation Foundation,,"Habitat Conservation Trust Fund, Timber West",,,Coastal Western Hemlock biogeoclimatic (BEC) zone,,Steelhead Trout (Oncorhynchus mykiss),Increasing availability and quality of spawning habitat.,,"• Install 150 m3 of suitable gravel in one location on the south side (right bank) of the Second Lake outlet channel to create an estimated 240 m2 of spawning habitat. 
• Install 250 m3 of suitable gravel in three locations immediately downstream of South Fork Dam in locations that will provide immediate spawning benefit and allow for gravel recruitment to suitable areas downstream.
",,015_Nanaimo River,,,"Additional gravel sites throughout the South Nanaimo River should be investigated.  As with this project, future gravel additions should be considered a maintenance measure to offset the cessation of natural gravel recruitment caused by the South Fork Dam.  Monitoring fish use of installed gravel and downstream displacement of material over time should be continued."
15,Ash River,49.395417,-125.077889,Project Report:�<a href='https://osf.io/9d2kb/?direct%26mode=render%26action=download%26mode=render' rel='nofollow ugc' target='_blank'>https://osf.io/9d2kb/?direct%26mode=render%26action=download%26mode=render</a>,Stamp-Somass/ Ash River,2003,2003,"Habitat Conservation Trust Fund, Ministry of Water, Land and Air Protection ",BC Conservation Foundation,,"Habitat Conservation Trust Fund, Timber West",,,Coastal Western Hemlock biogeoclimatic (BEC) zone,,Steelhead Trout (Oncorhynchus mykiss),Increasing availability and quality of spawning habitat.,,"• Install 400 m3 of suitable gravel in two locations, one on either side of the lake outlet, to create approximately 665 m2 of spawning habitat. ",,016_Ash River,,,
16,Elk Falls Rearing Channel,50.040611,-125.300306,Project Report:�<a href='https://osf.io/v5q9t/?direct%26mode=render%26action=download%26mode=render' rel='nofollow ugc' target='_blank'>https://osf.io/v5q9t/?direct%26mode=render%26action=download%26mode=render</a>,Campbell River/ Elk Falls,1999,2000,Campbell River Salmon Foundation,"International Forest Products, Fisheries and Oceans Canada, Northwest Hydraulic Consultants Ltd. R. Wong Consulting","$314,598 ","BCHydro: Bridge Coastal Fish and Wildlife Restoration Program & Campbell River Salmon Foundation. Department of Fisheries and Oceans, and BC Parks","Historical logging brought a Sawmill, log booming and a shipyard to this watershed",Industrial uses have lowered the river's fish productivity.,Coastal Western Hemlock biogeoclimatic (BEC) zone,,"Coho Salmon (Oncorhynchus kisutch), ",Create additional coho rearing habitat by connecting wetland to the mainstream,"• The banks of channel were seeded with grass, ocean spray, red alder, willow, red osier dogwood
• Weirs exposed soil seeded with grasses, salmon berries, alder, sitka spruce and red osier dogwood","• 260m of intake channel was constructed
• LWD was placed into channel and anchored in place
• 5 Newbury Style weirs were constructed",,,"- 0.8km of stream work
- 17000m2 of overwintering side channel habitat",,
17,Colonial Creek Instream Works,50.324361,-127.45525,Project Report:�<a href='https://osf.io/k28f4/?direct%26mode=render%26action=download%26mode=render' rel='nofollow ugc' target='_blank'>https://osf.io/k28f4/?direct%26mode=render%26action=download%26mode=render</a>,Colonial Creek/ Colonial Creek,2000,2001,Western Forest Products Limited,Northwest Hydraulic Consultants,"$74,519 ",,Approximately 39% of the watershed has been logged prior the 1940s,Moderate to high rates of bank erosion threatening riparian vegetation.  Lack of salmon habitat ,Coastal Western Hemlock biogeoclimatic (BEC) zone,TFL 6 managed by Western Forest Products,"Chum Salmon (Oncorhynchus keta), Coho Salmon (Oncorhynchus kisutch), Chinook Salmon (Oncorhynchus tshawytscha), Pink Salmon (Oncorhynchus gorbuscha), Sockeye Salmon (Oncorhynchus nerka), Steelhead Trout (Oncorhynchus mykiss), Cutthroat Trout (Oncorhynchus clarkii clarkii), and Dolly Varden Char (Salvelinus malma).",Provide cover and rearing habitat for anadromous and resident fishm protect against bank erosion and better define pool-riffle sequences in the channel,,• 9 LWD structures were constructed spaced roughly 150m apart to encourage better definition pool-riffle sequencing,,,"Restoration along 0.55km of  channel, along right and left channel banks",,
18,Cypre River Groundwater Channel,49.283417,-125.921417,Project Report:�<a href='https://osf.io/z8h2u/?direct%26mode=render%26action=download%26mode=render' rel='nofollow ugc' target='_blank'>https://osf.io/z8h2u/?direct%26mode=render%26action=download%26mode=render</a>,Cypre River/ Cypre River,1997,2000,Nuu-chah-nulth Tribal Council,"Weyerhaeuser, J.A. Taylor & Associates Ltd, FIsheries and Oceans Canada","$155,781 ",Habitat Restoration & Salmon Enhancement Program,40% of the Cypre river watershed has been logged.  26% of that between 1974 and 1985.  Logging stopped in 1997,#NAME?,Coastal Western Hemlock biogeoclimatic (BEC) zone,,"Coho Salmon (Oncorhynchus kisutch),  Rainbow Trout (Oncorhynchus mykiss) and Cutthroat Trout (Oncorhynchus clarkii clarkii).",,,"Channel excavation required three phases:
Phase 1 • All organics were stripped and silt out of the swale dow to ground water level
Phase 2 • A second pass widen the channel to approximately 6m.
Phase 3 • The final pass completed the excavation down to the design grade.
• Channel complexing was primarily performed with LWD and brush revetments
• Five artificial undercut banks were constructed using logs,
• Boulders and placements were used to provide interstitial habitat along 500 mts of the channel",,,,,
19,Easy Creek Watershed Restoration,50.131167,-127.324833,Watershed Restoration Project Report:�<a href='https://osf.io/ztyp6/?direct%26mode=render%26action=download%26mode=render' rel='nofollow ugc' target='_blank'>https://osf.io/ztyp6/?direct%26mode=render%26action=download%26mode=render</a>,Kayouq Creek/ Easy Creek,2000,2000,Watershed Restoration Program,"Rupert Wong, Violet Komori and Warren Warting, Kingcome Enhanced Forestry Division (KEFD), Komori Wind Environmental, ARTA Consulting, and Streamline Environmental Consulting Ltd.","$89,148 ",Watershed Restoration Program,Forestry development in Easy Creek began in the middle 1960's with approximately 40-50% of the watershed logged by 1992.  Approximately 81% of the harvesting and road building occurred before 1988.  70% of the total area logged occurred below 300m impacting sensitive riparian habitat,"- Impassable LWD jam impairing access for fish habitat
- Degradation of natural riparian vegetation throughout the entire mainstem and lower tributaries .
- Reduction in Long-Term supply of LWD (that would otherwise provide cover, shade and food for rearing salmonids). 
- Slope failures (increased peak flows, sediment delivery and channel widening), and mainline road encroachment into mainstem river channel (limiting natural stream meander and fish access to off-channel habitat",Coastal Western Hemlock biogeoclimatic (BEC) zone,"The majority of the watershed is crown land with a small area designated ""Indian Reserve"" on the north side of the estuary",Juvenile Salmonids,Increase productivity and survival of overwintering juvenile salmonids by developing stable off-channel rearing habitat and stable LWD cover structures in the mainstream channel,,"• In the first year a total of 10 manistem LWD structures were completed. 
• Excavation of a small alcove (100m2) complexed with LWD",,021_EasyCreek,In 2000 a total of 88 pieces of LWD were used to construct 10 features om Easy Creek,"Recognizance work in 1994 highlighted the impacts to fish habitat including a log jam.
A 1999 fish habitat and hydrology assessment document existing impacts of forestry development on fish habitat",#NAME?
20,Keogh River Riparian Restoration,50.669417,-127.352167,Watershed Restoration Project Report:�<a href='https://osf.io/ztyp6/?direct%26mode=render%26action=download%26mode=render' rel='nofollow ugc' target='_blank'>https://osf.io/ztyp6/?direct%26mode=render%26action=download%26mode=render</a>,Keogh River/ Keogh River,2000,2000,"Ministry of Environment, Lands and Parks, B.C Conservation Foundation, Kwakiutl First Nation and Quatsino FIrst Nation","Pat Slaney and Lloyd Burroughs, Western Forest Products Ltd, Port McNeill Division, V.A Poulin and E. Gagné, ","Phase 1: $137,800
Phase 2: $47,075",Watershed Restoration Program,Logging occurred in the 1970's,#NAME?,Coastal Western Hemlock biogeoclimatic (BEC) zone,Western Forest Products,"Coho Salmon (Oncorhynchus kisutch), and Dolly Varden char (Salvelinus malma).",#NAME?,"• Improve diameter growth and species composition of conifer and deciduous trees by thinning and brushing
• Advance conifer regeneration by removing alder overstory or managing for mixed wood
• Utilize standing conifers to create river structure 
• Reduce windthrow hazard of riparian trees by early spacing and thinning
• Modified a component of trees to use by birds bats and small mammals by topping pruning","57 fish habitat structures were installed in the lower river. structures included:
• 28 Boulder Clusters within rifles
• 20 lateral triangular LWD structures
• 6 boulder riffles
• 2 debris spurs
• 1 two -log deflector
• two ponds were excavated to create overwintering habitat",,,,Habitat complexity was restored in 1998,
21,Keogh River Instream and Off-channel Restoration,50.660288,-127.35649,Watershed Restoration Project Report:�<a href='https://osf.io/ctfzm/?direct%26mode=render%26action=download%26mode=render' rel='nofollow ugc' target='_blank'>https://osf.io/ctfzm/?direct%26mode=render%26action=download%26mode=render</a>,Keogh River/ Keogh River,1998,1998,"Ministry of Environment, Lands and Parks, B.C Conservation Foundation.",Western Forest Products Ltd. North Island Division.,"$156,937 ",Watershed Restoration Program,Logging occurred in the 1970's,,Coastal Western Hemlock biogeoclimatic (BEC) zone,"The Keogh River lies largely in Tree Farm License 25, of Western Forest Products Ltd. (WFP),",Salmonids,#NAME?,,"• Instream restoration work involved the creation of new fish habitat and either reconstruct, or increase the productive capacity of past restoration efforts. 
• A total of 68 instream restoration structures were built during the 1998/1999 restoration season.",,,"A total of 68 fish habitat structures were either installed or improved, creating an estimated 4534m2 of fish habitat. By applying coho fry and steelhead juvenile production information derived by McCubbing and Ward (1997), the 1998/1999 instream restoration component of the KRWRP has produced enough summer habitat to accommodate at least 3127 coho fry and 267 steelhead juveniles, annually.","Over the past five years, Western has supplied restoration materials and undertaken cross ditching, water bar and revegetation work at most unstable road and gully sites.",
22,Lower Klaklakama Creek,50.178379,-126.436553,Watershed Restoration Project Report:�<a href='https://osf.io/ztyp6/?direct%26mode=render%26action=download%26mode=render' rel='nofollow ugc' target='_blank'>https://osf.io/ztyp6/?direct%26mode=render%26action=download%26mode=render</a>,Nimpkish River/ Lower Klaklakama Creek,2000,2000,The Nimpkish Resource Management Board,"Kenn Rood, Mike Berry, Charley Jancsik, Partnership of Canadian Forest Products Ltd. 'Namgis First Nation and International Woodworkers of america","$10,838 ",Watershed Restoration Program,Timber harvesting began in the 1950's and 44% of the total watershed has been harvested to date,#NAME?,Coastal Western Hemlock biogeoclimatic (BEC) zone,,"Coho Salmon (Oncorhynchus kisutch),  and other resident fish species",Clear the woody debri to allow fish passage,,"• LWD was moved (using hand tools and chainsaw winches) towards the bancks to create two opposing LWD spurs
• Larger Woody pieces were were cabled together and. attached to the banks or buried on the streambed",,,"FIsh access was provided to approximately 11km of highly productive stream, including two lakes","-Enhancement projects have cleared small woody debris to allow fish passage over the years (Namgis First Nation, 1978-1982)",
